label,song,loud,dance,energy,tempo,variance,live
"0","Breaking Bad","-5.334","0.49","0.3","143.99","0.72","0.37"
"0","Felices los 4","-4.502","0.76","0.74","93.97","0.79","0.35"
"0","Galway Girl","-3.374","0.62","0.78","99.94","0.88","0.33"
"0","La lluvia en los zapatos","-5.898","0.57","0.66","121.99","0.77","0.3"
"0","You're the Best Thing About Me","-6.689","0.65","0.79","117.04","0.78","0.27"
"0","No vaya a ser","-7.399","0.73","0.58","100","0.69","0.27"
"0","Swalla","-3.862","0.7","0.78","98.06","0.82","0.19"
"0","You Don't Know Me","-6.054","0.88","0.68","124.01","0.67","0.19"
"1","Rockabye","-4.068","0.72","0.74","101.97","0.76","0.18"
"0","New Rules","-6.258","0.77","0.66","116.05","0.7","0.18"
"1","Something Just Like This","-6.695","0.61","0.51","103","0.65","0.17"
"0","Human","-4.097","0.6","0.55","75.09","0.71","0.17"
"0","Chained to the Rhythm","-5.363","0.45","0.46","189.8","0.8","0.15"
"1","Havana","-4.333","0.77","0.39","104.99","0.52","0.13"
"1","Mi gente","-4.915","0.54","0.29","103.81","0.68","0.13"
"0","Look What You Made Me Do","-6.471","0.77","0.51","128.07","0.71","0.13"
"0","OK","-6.032","0.65","0.58","121.95","0.81","0.13"
"0","Perfect","-7.365","0.59","0.36","94.99","0.3","0.12"
"0","Wild Thoughts","-3.094","0.67","0.63","97.98","0.67","0.12"
"2","Despacito","-4.757","0.66","0.85","177.83","0.79","0.11"
"0","Súbeme la radio","-3.297","0.68","0.65","91.05","0.82","0.11"
"0","Sign of the Times","-4.63","0.52","0.22","119.97","0.6","0.11"
"0","Hey Ma","-3.115","0.69","0.51","106","0.96","0.11"
"0","Dusk Till Dawn","-6.593","0.26","0.1","180.04","0.44","0.11"
"0","Solo si es contigo","-6.205","0.57","0.96","175.2","0.59","0.1"
"0","Échame la culpa","-3.617","0.72","0.64","96.02","0.9","0.1"
"0","I Feel It Coming","-5.9","0.77","0.57","92.99","0.81","0.1"
"1","Feels","-3.105","0.89","0.87","101.02","0.75","0.09"
"1","Shape of You","-3.183","0.83","0.93","95.98","0.65","0.09"
"1","Shape of You","-3.183","0.83","0.93","95.98","0.65","0.09"
"0","Me enamoré","-2.251","0.74","0.95","103.71","0.88","0.09"
"0","What About Us","-6.186","0.39","0.19","113.84","0.59","0.09"
"0","It Ain't Me","-6.596","0.64","0.52","99.97","0.53","0.09"
"1","Attention","-4.432","0.77","0.78","100.04","0.63","0.08"
"0","Way Down We Go","-5.798","0.59","0.26","81.66","0.58","0.08"
"0","Malibu","-6.406","0.57","0.34","139.93","0.78","0.08"
"0","Sexual","-5.201","0.69","0.4","117.01","0.88","0.08"
"0","Feel It Still","-5.151","0.78","0.77","78.97","0.8","0.07"
"0","Yo contigo tú conmigo","-6.878","0.73","0.89","94.01","0.67","0.06"
"0","Issues","-6.827","0.68","0.43","113.63","0.43","0.06"
"0","Me rehúso","-6.327","0.74","0.43","104.82","0.8","0.05"
