"summerhit","song","lodness","tempo",""
"0","El abuelo Vítor","-11.887","119.37",""
"1","Live is life","-4.274","95.422",""
"0","Cantares","-5.754","121.855",""
"0","Sueños rotos","-6.091","125.995",""
"0","Let's Get Rocked","-6.444","101.287",""
"0","El amor","-14.322","83.825",""
"1","Ai se eu te pego!","-5.326","96.035",""
"0","El alma al aire","-4.185","81.293",""
"0","Y sólo se me ocurre amarte","-6.039","145.965",""
"0","El tonto Simón","-12.248","107.315",""
"0","El solitario","-8.046","116.208",""
"0","Cuando nadie me ve","-7.355","59.226",""
"1","La puerta de Alcalá","-11.429","146.356",""
"0","Grité una noche","-4.622","88.068",""
"0","Hope of Deliverance","-10.549","157.886",""
"0","Se me olvidó otra vez","-4.855","103.188",""
"0","Una noche sin ti","-13.552","110.206",""
"0","Te quiero tanto","-13.888","74.807",""
"0","No estás sola","-8.799","126.93",""
"0","Quiero abrazarte tanto","-9.067","153.361",""
"0","O tú o ninguna","-8.353","72.826",""
"0","Mil calles llevan hacia ti","-3.312","169.462",""
"0","El blues del autobús","-5.798","134.429",""
"0","No hay 2 sin 3 (Gol)","-4.338","126.167",""
"0","No hago otra cosa que pensar en ti","-3.819","73.228",""
"0","Va a estallar el obús","-3.819","73.228",""
"0","This is my Life","-5.498","123.886",""
"0","Todo a pulmón","-10.065","63.751",""
"0","Cuando los sapos bailen flamenco","-6.633","84.446",""
"0","Y sin embargo","-6.633","84.446",""
"0","Canta por mí","-8.924","99.944",""
"0","Bienvenidos","-5.226","94.186",""
"0","Otra vez","-4.193","129.793",""
"0","20 de abril","-12.057","112.961",""
"0","Five More Hours","-3.226","127.961",""
"0","Dime que me quieres","-3.525","181.957",""
"0","La culpa ha sido mía","-3.525","181.957",""
"1","Night Fever","-9.115","95.513",""
"0","Los tejados","-8.883","73.38",""
"0","Europe's living a celebration","-3.108","135.041",""
"0","Te quise tanto","-4.154","135.943",""
"0","Atrévete","-5.951","87.991",""
"0","Amor fugaz","-6.024","73.813",""
"0","Rain Over Me","-2.117","127.917",""
"0","Vivimos siempre juntos","-10.541","119.039",""
"0","Hold On Tight","-3.717","127.898",""
"0","Souvenir","-3.717","127.898",""
"0","Macarena","-4.272","105.03",""
"0","Háblame de ti","-10.33","133.4",""
"0","Day in, Day out","-9.556","131.496",""
"0","Llovió","-7.602","89.042",""
