loud,dance,valence,tempo,energy,live,key,acoustic,speech,type
-6.205,0.574,0.96,175.2,0.59,0.103,7,0.329,0.0475,0
-3.105,0.893,0.872,101.018,0.745,0.0943,11,0.0642,0.0571,1
-4.333,0.765,0.394,104.988,0.523,0.132,2,0.184,0.03,1
-4.432,0.774,0.777,100.041,0.626,0.0848,3,0.0969,0.0432,1
-4.068,0.72,0.742,101.965,0.763,0.18,9,0.406,0.0523,1
-6.327,0.744,0.426,104.823,0.804,0.0494,1,0.0231,0.0677,1
-3.094,0.671,0.632,97.98,0.672,0.118,0,0.0329,0.0688,0
-6.258,0.771,0.656,116.054,0.696,0.179,9,0.00256,0.0755,0
-3.374,0.624,0.781,99.943,0.876,0.327,9,0.0735,0.1,0
-7.365,0.587,0.356,94.992,0.299,0.123,8,0.779,0.0263,0
-3.183,0.825,0.931,95.977,0.652,0.0931,1,0.581,0.0802,1
-3.297,0.684,0.647,91.048,0.823,0.111,9,0.0744,0.0773,1
-4.63,0.516,0.222,119.972,0.595,0.109,5,0.0275,0.0313,0
-4.915,0.543,0.294,103.809,0.677,0.13,11,0.0148,0.0993,1
-3.862,0.696,0.782,98.064,0.817,0.187,1,0.075,0.109,0
-6.054,0.876,0.682,124.007,0.669,0.185,11,0.163,0.138,0
-6.827,0.683,0.426,113.634,0.427,0.0604,8,0.368,0.0777,0
-8.022,0.489,0.337,163.255,0.505,0.104,10,0.579,0.117,0
-5.363,0.448,0.462,189.798,0.801,0.146,0,0.0733,0.165,0
-6.596,0.64,0.515,99.968,0.533,0.0864,0,0.119,0.0706,0
-5.201,0.686,0.396,117.01,0.877,0.0791,0,0.00254,0.0373,0
-5.334,0.493,0.302,143.989,0.724,0.369,7,0.00739,0.0339,0
-5.898,0.573,0.659,121.985,0.773,0.303,2,0.000302,0.0322,0
-4.757,0.66,0.846,177.833,0.786,0.112,2,0.209,0.17,2
-3.617,0.724,0.64,96.022,0.895,0.097,7,0.0322,0.0411,1
-4.502,0.755,0.737,93.973,0.789,0.351,5,0.231,0.146,1
-6.406,0.573,0.343,139.934,0.781,0.0813,8,0.0767,0.0555,0
-6.878,0.727,0.893,94.006,0.669,0.0639,10,0.274,0.151,0
-6.186,0.386,0.187,113.843,0.594,0.0873,1,0.0254,0.0565,0
-7.399,0.731,0.577,99.995,0.687,0.265,1,0.232,0.0586,1
-3.115,0.694,0.505,106.002,0.957,0.108,9,0.0243,0.171,0
-5.151,0.78,0.771,78.969,0.798,0.0733,1,0.0406,0.0613,0
-4.097,0.602,0.554,75.09,0.707,0.165,11,0.393,0.302,0
-6.032,0.653,0.583,121.951,0.81,0.126,7,0.118,0.0558,0
-2.251,0.74,0.948,103.71,0.879,0.0928,9,0.193,0.105,0
-6.471,0.766,0.506,128.07,0.709,0.126,9,0.204,0.123,0
-6.695,0.607,0.505,102.996,0.649,0.174,11,0.0306,0.0362,1
-5.9,0.769,0.567,92.985,0.813,0.0952,0,0.429,0.143,0
-6.689,0.653,0.792,117.038,0.78,0.269,2,0.00258,0.0398,0
-6.593,0.258,0.0967,180.043,0.437,0.106,11,0.101,0.039,0
-5.097,0.589,0.166,90.011,0.651,0.111,6,0.0291,0.0306,1
-4.282,0.818,0.632,106.97,0.803,0.153,1,0.034,0.0797,0
-3.959,0.745,0.951,179.991,0.944,0.333,0,0.21,0.134,1
-8.053,0.728,0.352,100.017,0.563,0.179,1,0.621,0.134,0
-3.887,0.638,0.529,111.995,0.924,0.149,7,0.00205,0.0359,0
-5.309,0.476,0.142,199.864,0.718,0.122,8,0.0784,0.0576,0
-5.886,0.791,0.371,103.989,0.619,0.351,1,0.00784,0.0532,1
-5.886,0.791,0.371,103.989,0.619,0.351,1,0.00784,0.0532,1
-3.354,0.724,0.846,90.999,0.904,0.226,8,0.0786,0.0966,2
-4.361,0.508,0.555,180.044,0.687,0.126,0,0.551,0.326,0
-4.361,0.508,0.555,180.044,0.687,0.126,0,0.551,0.326,0
-5.529,0.757,0.82,120.075,0.678,0.0654,8,0.0472,0.233,0
-9.828,0.609,0.515,100.418,0.378,0.28,4,0.835,0.438,1
-5.715,0.667,0.701,113.03,0.83,0.191,0,0.0123,0.0749,1
-5.715,0.667,0.701,113.03,0.83,0.191,0,0.0123,0.0749,0
-7.276,0.284,0.1,191.702,0.704,0.0424,2,0.00583,0.186,0
-4.77,0.793,0.488,121.972,0.729,0.317,0,0.08,0.0394,1
-5.235,0.566,0.258,124.885,0.81,0.0975,0,0.000543,0.0382,0
-6.126,0.433,0.689,174.006,0.724,0.0918,5,0.1,0.0372,0
-5.829,0.765,0.34,119.992,0.473,0.391,10,0.287,0.0514,0
-5.092,0.608,0.501,92.943,0.798,0.156,6,0.0736,0.0432,0
-3.782,0.747,0.752,107.991,0.877,0.233,9,0.0375,0.0664,0
-5.885,0.73,0.785,175.95,0.701,0.151,5,0.132,0.106,0
-8.622,0.833,0.142,105.006,0.55,0.109,1,0.488,0.0451,0
-6.647,0.663,0.69,101.965,0.713,0.0843,7,0.0353,0.112,1
-4.565,0.617,0.789,130.98,0.893,0.207,4,0.0815,0.0412,1
-3.928,0.749,0.811,93.976,0.872,0.241,8,0.0422,0.0534,0
-4.104,0.567,0.574,89.918,0.85,0.229,7,0.0369,0.0386,0
-6.238,0.725,0.558,91.974,0.534,0.0919,11,0.0752,0.0946,1
-3.372,0.863,0.909,101.997,0.752,0.156,8,0.182,0.0691,1
-6.681,0.746,0.764,149.882,0.754,0.0486,1,0.0152,0.067,0
-5.608,0.628,0.732,89.976,0.698,0.0907,6,0.0472,0.105,2
-5.599,0.748,0.661,95.01,0.524,0.111,8,0.414,0.0338,0
-5.094,0.532,0.422,159.803,0.869,0.136,11,0.157,0.172,0
-7.028,0.681,0.535,186.054,0.594,0.134,7,0.165,0.282,1
-9.348,0.732,0.548,90.024,0.396,0.105,4,0.0841,0.0286,0
-5.355,0.645,0.566,74.989,0.713,0.113,6,0.00835,0.0393,0
-5.677,0.734,0.648,169.977,0.637,0.0602,4,0.0462,0.141,0
-3.776,0.479,0.49,98.23,0.714,0.206,7,0.025,0.109,0
